timestamp,symbol,price,quantity,trade_type,trade_value,commission
2020-05-01,BTC-USD,8869.19898486328,0.014686975292386563,buy,130.26170635394698,0.130261706353947
2020-05-02,BTC-USD,8993.090978027343,0.014339651070852525,buy,128.95778667334397,0.12895778667334398
2020-05-03,BTC-USD,8901.917484374999,0.014341507821526078,buy,127.6669192287438,0.1276669192287438
2020-05-04,BTC-USD,8917.110624023437,0.01417375859695647,buy,126.38897336726406,0.12638897336726407
2020-05-05,BTC-USD,9007.571847656249,0.013890959945705534,buy,125.12381974385775,0.12512381974385775
2020-05-06,BTC-USD,9273.396099609374,0.013357709406313357,buy,123.87133030822173,0.12387133030822173
2020-05-07,BTC-USD,9956.494313964844,0.012316722575719781,buy,122.63137829183643,0.12263137829183643
2020-05-08,BTC-USD,9847.587348632813,0.012328282440875247,buy,121.40383819513514,0.12140383819513514
2020-05-09,BTC-USD,9598.693432617187,0.012521348516704438,buy,120.18858577480184,0.12018858577480183
2020-05-10,BTC-USD,8760.80887939453,0.013581565317678667,buy,118.98549803119606,0.11898549803119605
2020-05-11,BTC-USD,8606.096796386719,0.013687326087868306,buy,117.79445319590378,0.11779445319590379
2020-05-12,BTC-USD,8808.879777832031,0.013238383728755259,buy,116.6153307194128,0.1166153307194128
2020-05-13,BTC-USD,9274.622298339844,0.01244773183696943,buy,115.44801125891146,0.11544801125891146
2020-05-14,BTC-USD,9738.588540527344,0.011736030964916487,buy,114.29237666620976,0.11429237666620977
2020-05-15,BTC-USD,9332.861364257811,0.012123646281633055,buy,113.14830997578102,0.11314830997578101
2020-05-16,BTC-USD,9381.702178710937,0.011939805086449099,buy,112.01569539292345,0.11201569539292346
2020-05-17,BTC-USD,9675.574627441405,0.01146127465830575,buy,110.89441828204028,0.11089441828204027
2020-05-18,BTC-USD,9731.438482910156,0.011281411822911341,buy,109.78436515503705,0.10978436515503705
2020-05-19,BTC-USD,9733.902604980469,0.011165657606253931,buy,108.68542365983512,0.10868542365983512
2020-05-20,BTC-USD,9527.742936035156,0.011293071537651647,buy,107.59748256900016,0.10759748256900016
2020-05-21,BTC-USD,9086.302599609375,0.011723187798419112,buy,106.52043176848447,0.10652043176848447
2020-05-22,BTC-USD,9187.168437011718,0.011478418292805643,buy,105.45416224648194,0.10545416224648195
2020-05-23,BTC-USD,9213.891752929687,0.011330561382946533,buy,104.39856608239465,0.10439856608239466
2020-05-24,BTC-USD,8794.76334814453,0.011751713189385003,buy,103.35353643590989,0.10335353643590989
2020-05-25,BTC-USD,8911.388037597655,0.01148182158654711,buy,102.31896753618643,0.10231896753618644
2020-05-26,BTC-USD,8839.470260742188,0.01145936936074314,buy,101.2947546711492,0.1012947546711492
2020-05-27,BTC-USD,9185.608086914062,0.010917164462933306,buy,100.28079417689099,0.100280794176891
2020-05-28,BTC-USD,9530.51385205078,0.010416750341936478,buy,99.27698342718031,0.09927698342718032
2020-05-29,BTC-USD,9443.843585449218,0.010407120780198646,buy,98.28322082307425,0.09828322082307425
