date,symbol,open,high,low,close,volume
2018-01-01,BTC-USD,14112.2001953125,17712.400390625,9402.2900390625,10221.099609375,416247858176
2018-02-01,BTC-USD,10237.2998046875,11958.5,6048.259765625,10397.900390625,229717780480
2018-03-01,BTC-USD,10385.0,11704.099609375,6683.93017578125,6973.52978515625,193751709184
2018-04-01,BTC-USD,7003.06005859375,9745.3203125,6526.8701171875,9240.5498046875,196550010624
2018-05-01,BTC-USD,9251.4697265625,9964.5,7090.68017578125,7494.169921875,197611709696
2018-06-01,BTC-USD,7500.7001953125,7754.89013671875,5826.41015625,6404.0,130214179584
2018-07-01,BTC-USD,6411.68017578125,8424.26953125,6136.419921875,7780.43994140625,141441939792
2018-08-01,BTC-USD,7769.0400390625,7769.0400390625,5971.0498046875,7037.580078125,132292770000
2018-09-01,BTC-USD,7044.81005859375,7388.43017578125,6197.52001953125,6625.56005859375,129745370000
2018-10-01,BTC-USD,6619.85009765625,6965.06005859375,6236.47021484375,6317.60986328125,118436880000
2018-11-01,BTC-USD,6318.14013671875,6552.16015625,3585.06005859375,4017.2685546875,158359524484
2018-12-01,BTC-USD,4024.46435546875,4309.37744140625,3191.303466796875,3742.700439453125,168826809069
2019-01-01,BTC-USD,3746.71337890625,4109.02099609375,3400.81982421875,3457.792724609375,167335706864
2019-02-01,BTC-USD,3460.547119140625,4210.6416015625,3391.023681640625,3854.785400390625,199100675597
2019-03-01,BTC-USD,3853.757080078125,4296.806640625,3733.749755859375,4105.404296875,297952790260
2019-04-01,BTC-USD,4105.3623046875,5642.04443359375,4096.9013671875,5350.7265625,445364556718
2019-05-01,BTC-USD,5350.91455078125,9008.314453125,5347.64599609375,8574.501953125,724157870864
2019-06-01,BTC-USD,8573.83984375,13796.4892578125,7564.48876953125,10817.1552734375,675855385074
2019-07-01,BTC-USD,10796.9306640625,13129.529296875,9163.134765625,10085.6279296875,676416326705
2019-08-01,BTC-USD,10077.4423828125,12273.8212890625,9421.6298828125,9630.6640625,533984971734
2019-09-01,BTC-USD,9630.5927734375,10898.76171875,7830.7587890625,8293.8681640625,480544963230
2019-10-01,BTC-USD,8299.720703125,10021.744140625,7446.98876953125,9199.5849609375,595205134748
2019-11-01,BTC-USD,9193.9921875,9505.0517578125,6617.1669921875,7569.6298828125,676919523650
2019-12-01,BTC-USD,7571.6162109375,7743.431640625,6540.04931640625,7193.59912109375,633790373416
2020-01-01,BTC-USD,7194.89208984375,9553.1259765625,6914.99609375,9350.529296875,852872174496
2020-02-01,BTC-USD,9346.357421875,10457.626953125,8492.9326171875,8599.5087890625,1163376492768
2020-03-01,BTC-USD,8599.7587890625,9167.6953125,4106.98095703125,6438.64453125,1290442059648
2020-04-01,BTC-USD,6437.3193359375,9440.650390625,6202.37353515625,8658.5537109375,1156127164831
2020-05-01,BTC-USD,8672.7822265625,9996.7431640625,8374.3232421875,9461.05859375,1286368141507
2020-06-01,BTC-USD,9463.60546875,10199.5654296875,8975.525390625,9137.9931640625,650913318680
2020-07-01,BTC-USD,9145.9853515625,11415.8642578125,8977.015625,11323.466796875,545813339109
2020-08-01,BTC-USD,11322.5703125,12359.056640625,11012.4150390625,11680.8203125,708377092130
2020-09-01,BTC-USD,11679.31640625,12067.0810546875,9916.4931640625,10784.4912109375,1075949438431
2020-10-01,BTC-USD,10795.2548828125,14028.2138671875,10416.689453125,13780.9951171875,1050874546086
2020-11-01,BTC-USD,13780.9951171875,19749.263671875,13243.16015625,19625.8359375,1093144913227
2020-12-01,BTC-USD,19633.76953125,29244.876953125,17619.533203125,29001.720703125,1212259707946
2021-01-01,BTC-USD,28994.009765625,41946.73828125,28722.755859375,33114.359375,2153473433571
2021-02-01,BTC-USD,33114.578125,58330.5703125,32384.228515625,45137.76953125,2267152936675
2021-03-01,BTC-USD,45159.50390625,61683.86328125,45115.09375,58918.83203125,1681184264687
2021-04-01,BTC-USD,58926.5625,64863.09765625,47159.484375,57750.17578125,1844481772417
2021-05-01,BTC-USD,57714.6640625,59519.35546875,30681.49609375,37332.85546875,1976593438572
2021-06-01,BTC-USD,37293.79296875,41295.26953125,28893.62109375,35040.8359375,1189647451707
2021-07-01,BTC-USD,35035.984375,42235.546875,29360.955078125,41626.1953125,819103381204
2021-08-01,BTC-USD,41460.84375,50482.078125,37458.00390625,47166.6875,1014674184428
2021-09-01,BTC-USD,47099.7734375,52853.765625,39787.609375,43790.89453125,1102139678824
2021-10-01,BTC-USD,43816.7421875,66930.390625,43320.0234375,61318.95703125,1153077903534
2021-11-01,BTC-USD,61320.44921875,68789.625,53569.765625,57005.42578125,1053270271383
2021-12-01,BTC-USD,56907.96484375,59041.68359375,42874.6171875,46306.4453125,957047184722
2022-01-01,BTC-USD,46311.74609375,47881.40625,33184.05859375,38483.125,923979037681
2022-02-01,BTC-USD,38481.765625,45661.171875,34459.21875,43193.234375,671335993325
2022-03-01,BTC-USD,43194.50390625,48086.8359375,37260.203125,45538.67578125,830943838435
2022-04-01,BTC-USD,45554.1640625,47313.4765625,37697.94140625,37714.875,830115888649
2022-05-01,BTC-USD,37713.265625,39902.94921875,26350.490234375,31792.310546875,1105689315990
2022-06-01,BTC-USD,31792.5546875,31957.28515625,17708.623046875,19784.7265625,923939211678
2022-07-01,BTC-USD,19820.470703125,24572.580078125,18966.951171875,23336.896484375,927582363389
2022-08-01,BTC-USD,23336.71875,25135.58984375,19600.78515625,20049.763671875,894192654543
2022-09-01,BTC-USD,20050.498046875,22673.8203125,18290.314453125,19431.7890625,1123272250385
2022-10-01,BTC-USD,19431.10546875,20988.39453125,18319.822265625,20495.7734375,957903424925
2022-11-01,BTC-USD,20494.8984375,21446.88671875,15599.046875,17168.56640625,1224531549126
2022-12-01,BTC-USD,17168.001953125,18318.53125,16398.13671875,16547.49609375,541356716034
2023-01-01,BTC-USD,16547.9140625,23919.890625,16521.234375,23139.283203125,690994018045
2023-02-01,BTC-USD,23137.8359375,25134.1171875,21460.087890625,23147.353515625,723968574897
2023-03-01,BTC-USD,23150.9296875,29159.90234375,19628.25390625,28478.484375,883299703608
2023-04-01,BTC-USD,28473.33203125,31005.607421875,27070.849609375,29268.806640625,511540319004
2023-05-01,BTC-USD,29227.103515625,29820.126953125,25878.4296875,27219.658203125,443473015479
2023-06-01,BTC-USD,27218.412109375,31389.5390625,24797.16796875,30477.251953125,481734214225
2023-07-01,BTC-USD,30471.84765625,31814.515625,28934.294921875,29230.111328125,382224489090
2023-08-01,BTC-USD,29230.873046875,30176.796875,25409.111328125,25931.47265625,437724169499
2023-09-01,BTC-USD,25934.021484375,27488.763671875,24930.296875,26967.916015625,337637313742
2023-10-01,BTC-USD,26967.396484375,35150.43359375,26558.3203125,34667.78125,476425634860
2023-11-01,BTC-USD,34657.2734375,38415.33984375,34133.44140625,37712.74609375,570863267380
2023-12-01,BTC-USD,37718.0078125,44705.515625,37629.359375,42265.1875,721704910480
2024-01-01,BTC-USD,42280.234375,48969.37109375,38521.89453125,42582.60546875,825918941347
2024-02-01,BTC-USD,42569.76171875,63913.1328125,41879.19140625,61198.3828125,830721862621
2024-03-01,BTC-USD,61168.0625,73750.0703125,59323.91015625,71333.6484375,1446417844950
2024-04-01,BTC-USD,71333.484375,72715.359375,59120.06640625,60636.85546875,1016068331704
2024-05-01,BTC-USD,60609.49609375,71946.4609375,56555.29296875,67491.4140625,874291509757
2024-06-01,BTC-USD,67489.609375,71907.8515625,58601.69921875,62678.29296875,726773965644
2024-07-01,BTC-USD,62673.60546875,69987.5390625,53717.375,64619.25,953395573307
2024-08-01,BTC-USD,64625.83984375,65593.2421875,49121.23828125,58969.8984375,1043105485208
2024-09-01,BTC-USD,58969.80078125,66480.6953125,52598.69921875,63329.5,879117914822
2024-10-01,BTC-USD,63335.60546875,73577.2109375,58895.20703125,70215.1875,993732418048
2024-11-01,BTC-USD,70216.8984375,99655.5,66803.6484375,96449.0546875,2055808875264
2024-12-01,BTC-USD,96461.3359375,108268.4453125,91317.1328125,93429.203125,2057355570135
2025-01-01,BTC-USD,93425.1015625,109114.8828125,89260.1015625,102405.0234375,1668843382017
2025-02-01,BTC-USD,102402.796875,102755.7265625,78248.9140625,84373.0078125,1257276788562
2025-03-01,BTC-USD,84373.8671875,95043.4375,76624.25,81066.703125,619586740951
